Domain name,Domain type,Agency,Organization name,City,State,Security contact email,URL,HasRobotsTxt,UserAgents
addisonwi.gov,City,Non-Federal Agency,Town of Addison,Allenton,WI,clerk@addisonwi.org,http://addisonwi.gov,False,[]
adelantoca.gov,City,Non-Federal Agency,City of Adelanto,Adelanto,CA,cvergara@adelantoca.gov,http://adelantoca.gov,False,[]
adrianmi.gov,City,Non-Federal Agency,City of Adrian,Adrian,MI,(blank),http://adrianmi.gov,False,[]
adriantwpmi.gov,City,Non-Federal Agency,Adrian Charter Township,Adrian,MI,bmeloche@adrtiantownship.com,http://adriantwpmi.gov,False,[]
aftonwyoming.gov,City,Non-Federal Agency,TOWN OF AFTON,AFTON,WY,vsanderson@aftonwyoming.gov,http://aftonwyoming.gov,False,[]
agawamma.gov,City,Non-Federal Agency,Town of Agawam,Agawam,MA,(blank),http://agawamma.gov,False,[]
ahoskienc.gov,City,Non-Federal Agency,Town of Ahoskie,Ahoskie,NC,ebarnes@cocentral.com,http://ahoskienc.gov,True,[]
ainsworthiowa.gov,City,Non-Federal Agency,City of Ainsworth,Ainsworth,IA,(blank),http://ainsworthiowa.gov,False,[]
akronohio.gov,City,Non-Federal Agency,"City of Akron, Ohio",Akron,OH,(blank),http://akronohio.gov,False,[]
akronohiorescue.gov,City,Non-Federal Agency,"City of Akron, Ohio",Akron,OH,infrastructure@akronohio.gov,http://akronohiorescue.gov,False,[]
alamedaca.gov,City,Non-Federal Agency,City of Alameda,Alameda,CA,dcagampan@alamedaca.gov,http://alamedaca.gov,True,[]
alamoheightstx.gov,City,Non-Federal Agency,City of Alamo Heights,Alamo Heights,TX,jreyna@alamoheightstx.gov,http://alamoheightstx.gov,False,[]
alamotownshipmi.gov,City,Non-Federal Agency,Alamo Township,Kalamazoo,MI,kps@shumakergroup.com,http://alamotownshipmi.gov,True,[]
albanyca.gov,City,Non-Federal Agency,Citiy of Albany,Albany,CA,security@albanyca.org,http://albanyca.gov,False,[]
albanyga.gov,City,Non-Federal Agency,City of Albany,Albany,GA,jdemott@albanyga.gov,http://albanyga.gov,False,[]
albanyny.gov,City,Non-Federal Agency,City of Albany,Albany,NY,networkadministrator@albanyny.gov,http://albanyny.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
albanyoregon.gov,City,Non-Federal Agency,"City of Albany, Oregon",Albany,OR,domain-security@albanyoregon.gov,http://albanyoregon.gov,True,['Googlebot-Image']
albemarlenc.gov,City,Non-Federal Agency,City of Albemarle,Albemarle,NC,itdept@ci.albemarle.nc.us,http://albemarlenc.gov,False,[]
alberttwpmi.gov,City,Non-Federal Agency,Township of Albert,Lewiston,MI,sales@beardedbinyl.com,http://alberttwpmi.gov,False,[]
albertvillemn.gov,City,Non-Federal Agency,City of Albertville,Albertville,MN,tlannes@ci.albertville.mn.us,http://albertvillemn.gov,False,[]
albuquerque-nm.gov,City,Non-Federal Agency,City of Albuquerque ,Albuquerque,NM,(blank),http://albuquerque-nm.gov,False,[]
aldanpa.gov,City,Non-Federal Agency,Aldan Borough,Aldan,PA,domains@craftech.com,http://aldanpa.gov,False,[]
aledoil.gov,City,Non-Federal Agency,City of Aledo,Aledo,IL,cityclerk@aledoil.org,http://aledoil.gov,False,[]
aledotx.gov,City,Non-Federal Agency,City of Aledo,Aledo,TX,todd@covingtonservices.us,http://aledotx.gov,True,[]
aleknagikak.gov,City,Non-Federal Agency,City of Aleknagik,Aleknagik,AK,tech@aleknagikak.gov,http://aleknagikak.gov,False,[]
alexandercityal.gov,City,Non-Federal Agency,City of Alexander City,Alexander City,AL,support@alexandercityal.gov,http://alexandercityal.gov,False,[]
alexandrianh.gov,City,Non-Federal Agency,Town of Alexandria,Alexandria,NH,klavelle@ccsnh.com,http://alexandrianh.gov,False,[]
alexandrianj.gov,City,Non-Federal Agency,Alexandria Township,Milford,NJ,(blank),http://alexandrianj.gov,False,[]
alexandriaoh.gov,City,Non-Federal Agency,"Village of Alexandria, Ohio",ALEXANDRIA,OH,(blank),http://alexandriaoh.gov,False,[]
alexandriava.gov,City,Non-Federal Agency,City of Alexandria,Alexandria,VA,security@alexandriava.gov,http://alexandriava.gov,True,[]
alfredme.gov,City,Non-Federal Agency,Town of Alfred,Alfred,ME,(blank),http://alfredme.gov,False,[]
algonaiowa.gov,City,Non-Federal Agency,City of Algona,Algona,IA,securitysupport@accesssystems.com,http://algonaiowa.gov,False,[]
algonawa.gov,City,Non-Federal Agency,City Of Algona,Algona,WA,(blank),http://algonawa.gov,False,[]
algoodtn.gov,City,Non-Federal Agency,City Of Algood,Algood,TN,(blank),http://algoodtn.gov,False,[]
alhambraca.gov,City,Non-Federal Agency,City of Alhambra,Alhambra,CA,(blank),http://alhambraca.gov,False,[]
aliquippapa.gov,City,Non-Federal Agency,City of Aliquippa,Aliquippa,PA,(blank),http://aliquippapa.gov,False,[]
allendalemi.gov,City,Non-Federal Agency,Allendale Charter Township,Allendale,MI,(blank),http://allendalemi.gov,True,[]
allendalenj.gov,City,Non-Federal Agency,Borough of Allendale,Allendale,NJ,jim@cobancomputers.com,http://allendalenj.gov,False,[]
allenstownnh.gov,City,Non-Federal Agency,Town of Allenstown,Allenstown,NH,TA@allenstownnh.gov,http://allenstownnh.gov,True,[]
allentownpa.gov,City,Non-Federal Agency,City of Allentown,Allentown,PA,(blank),http://allentownpa.gov,False,[]
allianceoh.gov,City,Non-Federal Agency,City of Alliance,Alliance,OH,(blank),http://allianceoh.gov,False,[]
almaarkansas.gov,City,Non-Federal Agency,City of Alma,Alma,AR,administrator@cityofalma.org,http://almaarkansas.gov,True,[]
almacenterwi.gov,City,Non-Federal Agency,Village of Alma Center,Alma Center,WI,almacenterwigov@computerguts.net,http://almacenterwi.gov,True,[]
almenatownship.gov,City,Non-Federal Agency,Almena Township,Paw Paw,MI,markroman2005@comcast.net,http://almenatownship.gov,False,[]
almontmichigan.gov,City,Non-Federal Agency,Village of Almont,Almont,MI,(blank),http://almontmichigan.gov,False,[]
alpharettaga.gov,City,Non-Federal Agency,City of Alpharetta,Alpharetta,GA,domainregistration@alpharetta.ga.us,http://alpharettaga.gov,False,[]
alpinewy.gov,City,Non-Federal Agency,Town of Alpine,Alpine,WY,alpine@silverstar.com,http://alpinewy.gov,False,[]
alsteadnh.gov,City,Non-Federal Agency,Town of Alstead,Alstead,NH,(blank),http://alsteadnh.gov,False,[]
altavistava.gov,City,Non-Federal Agency,Town of Altavista,Altavista,VA,tcshelton@altavistava.gov,http://altavistava.gov,False,[]
alton-tx.gov,City,Non-Federal Agency,City of Alton,Alton,TX,(blank),http://alton-tx.gov,False,[]
altoonapa.gov,City,Non-Federal Agency,City of Altoona,Altoona,PA,(blank),http://altoonapa.gov,True,[]
altoona-wi.gov,City,Non-Federal Agency,City Of Altoona Emergency Services ,Altoona,WI,police@ci.altoona.wi.us,http://altoona-wi.gov,True,[]
altusok.gov,City,Non-Federal Agency,City of Altus,Altus,OK,(blank),http://altusok.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
alvin.gov,City,Non-Federal Agency,City of Alvin,Alvin,TX,(blank),http://alvin.gov,False,[]
alvin-tx.gov,City,Non-Federal Agency,"City of Alvin, Texas",Alvin,TX,InformationTechnology@cityofalvin.com,http://alvin-tx.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
alvo.gov,City,Non-Federal Agency,Village of Alvo,Eagle,NE,villageofalvo@outlook.com,http://alvo.gov,True,"['AhrefsBot', 'PetalBot', 'dotbot', 'AdsBot-Google-Mobile', 'AdsBot-Google', 'Googlebot']"
alvordtx.gov,City,Non-Federal Agency,City of Alvord,Alvord,TX,cody@saltlogix.com,http://alvordtx.gov,False,[]
amalgautah.gov,City,Non-Federal Agency,Amalga Town,AMALGA,UT,help@askalltech.com,http://amalgautah.gov,False,[]
amarillo.gov,City,Non-Federal Agency,City of Amarillo ,Amarillo,TX,jose.villarreal@amarillo.gov,http://amarillo.gov,False,[]
ameniany.gov,City,Non-Federal Agency,Town of Amenia,Amenia,NY,(blank),http://ameniany.gov,False,[]
americancanyon.gov,City,Non-Federal Agency,City of American Canyon,American Canyon,CA,rlecomte@dni.net,http://americancanyon.gov,True,[]
americanfork.gov,City,Non-Federal Agency,American Fork City,American Fork,UT,george@americanfork.gov,http://americanfork.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
americusga.gov,City,Non-Federal Agency,City of Americus,Americus,GA,(blank),http://americusga.gov,False,[]
amerywi.gov,City,Non-Federal Agency,City of Amery,Amery,WI,(blank),http://amerywi.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
amesburyma.gov,City,Non-Federal Agency,Town of Amesbury,Amesbury,MA,it@amesburyma.gov,http://amesburyma.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
amherstma.gov,City,Non-Federal Agency,Town of Amherst,Amherst,MA,hannons@amherstma.gov,http://amherstma.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
amherstnh.gov,City,Non-Federal Agency,Town of Amherst,Amherst,NH,jstover@amherstnh.gov,http://amherstnh.gov,False,[]
amherstva.gov,City,Non-Federal Agency,Town of Amherst,Amherst,VA,townhall@amherstva.gov,http://amherstva.gov,False,[]
amityvillepdny.gov,City,Non-Federal Agency,Amityville Village Police Department,Amityville,NY,amityvillepd@amityvillepd.com,http://amityvillepdny.gov,False,[]
amortownshipmn.gov,City,Non-Federal Agency,Anor Township,Battle Lake,MN,(blank),http://amortownshipmn.gov,False,[]
amsterdamny.gov,City,Non-Federal Agency,City of Amsterdam,Amsterdam,NY,(blank),http://amsterdamny.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
anacorteswa.gov,City,Non-Federal Agency,City of Anacortes,Anacortes,WA,(blank),http://anacorteswa.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
anaheim.gov,City,Non-Federal Agency,City of Anaheim,Anaheim,CA,_CityITManagement@anaheim.net,http://anaheim.gov,False,[]
anchorageak.gov,City,Non-Federal Agency,Municipality of Anchorage,Anchorage,AK,ty.nesheim@anchorageak.gov,http://anchorageak.gov,True,[]
andalusiaal.gov,City,Non-Federal Agency,City of Andalusia,Andalusia,AL,itsecurity@cityofandlausia.com,http://andalusiaal.gov,False,[]
andersontx.gov,City,Non-Federal Agency,Town of Anderson,aNDERSON,TX,townoffice@andersontx.gov,http://andersontx.gov,True,[]
andesnewyork.gov,City,Non-Federal Agency,Town of Andes New York,Andes,NY,(blank),http://andesnewyork.gov,True,[]
andoverma.gov,City,Non-Federal Agency,Town of Andover,Andover,MA,platform.team@andoverma.us,http://andoverma.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
andovermn.gov,City,Non-Federal Agency,City of Andover,Andover,MN,webmaster@andovermn.gov,http://andovermn.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
andover-nh.gov,City,Non-Federal Agency,TOWN OF ANDOVER,Andover,NH,(blank),http://andover-nh.gov,True,[]
andrewsnc.gov,City,Non-Federal Agency,Town of Andrews,Andrews,NC,abuse@andrewsnc.gov,http://andrewsnc.gov,False,[]
angelfirenm.gov,City,Non-Federal Agency,Village of Angel Fire,Angel Fire,NM,(blank),http://angelfirenm.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
angelscamp.gov,City,Non-Federal Agency,City of Angels ,City of Angels Camp,CA,swong@coneth.com,http://angelscamp.gov,True,"['TurnitinBot', 'MJ12bot']"
ankenyiowa.gov,City,Non-Federal Agency,City of Ankeny,Ankeny,IA,(blank),http://ankenyiowa.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
annapolis.gov,City,Non-Federal Agency,City of Annapolis,Annapolis,MD,(blank),http://annapolis.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
annapolismd.gov,City,Non-Federal Agency,City of Annapolis,Annapolis,MD,(blank),http://annapolismd.gov,False,[]
annatexas.gov,City,Non-Federal Agency,City of Anna,Anna,TX,(blank),http://annatexas.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
annettatx.gov,City,Non-Federal Agency,Town of Annetta,Aledo,TX,citysecretary@annettatx.gov,http://annettatx.gov,True,"['AhrefsBot', 'PetalBot', 'dotbot', 'AdsBot-Google-Mobile', 'AdsBot-Google', 'Googlebot']"
annistonal.gov,City,Non-Federal Agency,"City of Anniston, Alabama",Anniston,AL,mbushard@annistonal.gov,http://annistonal.gov,True,[]
anokawineandspirits.gov,City,Non-Federal Agency,City of Anoka,Anoka,MN,admin@vpointusa.com,http://anokawineandspirits.gov,False,[]
antiochcaboard.gov,City,Non-Federal Agency,City of Antioch,Antioch,CA,abarton@ci.antioch.ca.us,http://antiochcaboard.gov,False,[]
antiochcacommission.gov,City,Non-Federal Agency,City of Antioch,Antioch,CA,abarton@ci.antioch.ca.us,http://antiochcacommission.gov,False,[]
antiochcacommittee.gov,City,Non-Federal Agency,City of Antioch,Antioch,CA,abarton@ci.antioch.ca.us,http://antiochcacommittee.gov,False,[]
antiochca.gov,City,Non-Federal Agency,City of Antioch,Antioch,CA,(blank),http://antiochca.gov,True,[]
antiochtownshipil.gov,City,Non-Federal Agency,Antioch Township,Lake Villa,IL,(blank),http://antiochtownshipil.gov,True,"['AhrefsBot', 'PetalBot', 'dotbot', 'AdsBot-Google-Mobile', 'AdsBot-Google', 'Googlebot']"
antrimnh.gov,City,Non-Federal Agency,Town of Antrim,Antrim,NH,support@miradorit.com,http://antrimnh.gov,False,[]
apachejunctionaz.gov,City,Non-Federal Agency,City of Apache Junction,Apache Junction,AZ,dwirthgen@apachejunctionaz.gov,http://apachejunctionaz.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
apexnc.gov,City,Non-Federal Agency,"APEX, TOWN OF",Apex,NC,erika.sacco@apexnc.org,http://apexnc.gov,False,[]
apopka.gov,City,Non-Federal Agency,City of Apopka,Apopka,FL,it_all@apopka.net,http://apopka.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
appletonmn.gov,City,Non-Federal Agency,City of Appleton,Appleton,MN,noc@coordinated.com,http://appletonmn.gov,True,"['MSNBot', 'archive.org_bot', 'W3C-checklink', 'ia_archiver', 'Googlebot', 'CCBot']"
appletonwi.gov,City,Non-Federal Agency,City of Appleton,Appleton,WI,justin.marsh@appleton.org,http://appletonwi.gov,False,[]
applevalleyca.gov,City,Non-Federal Agency,Town of Apple Valley,Apple Valley,CA,webmaster@applevalley.org,http://applevalleyca.gov,False,[]
applevalleymn.gov,City,Non-Federal Agency,City of Apple Valley,Apple Valley,MN,nbang@ci.apple-valley.mn.us,http://applevalleymn.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
applevalleyut.gov,City,Non-Federal Agency,Town of Apple Valley,Apple Valley,UT,clerk@applevalleyut.gov,http://applevalleyut.gov,False,[]
appomattoxva.gov,City,Non-Federal Agency,Town of Appomattox,Appomattox,VA,(blank),http://appomattoxva.gov,False,[]
aptx.gov,City,Non-Federal Agency,City of Aransas Pass,Aransas Pass,TX,doffalter@aransaspasstx.gov,http://aptx.gov,False,[]
aquinnah-ma.gov,City,Non-Federal Agency,Town of Aquinnah,Aquinnah,MA,adminassistant@aquinnah-ma.gov,http://aquinnah-ma.gov,True,[]
aragotownshipmn.gov,City,Non-Federal Agency,Arago Township,Park Rapids,MN,(blank),http://aragotownshipmn.gov,False,[]
aransaspasstx.gov,City,Non-Federal Agency,City of Aransas Pass,Aransas Pass,TX,jmartin@aptx.gov,http://aransaspasstx.gov,False,[]
arcadami.gov,City,Non-Federal Agency,Arcada Township,Ithaca,MI,kps@shumakergroup.com,http://arcadami.gov,True,[]
arcadiaca.gov,City,Non-Federal Agency,City of Arcadia,Arcadia,CA,wluo@arcadiaca.gov,http://arcadiaca.gov,True,"['LinkedInBot/1.0', 'Bingbot', 'Twitterbot', 'Googlebot', 'FacebookBot']"
arcadia-fl.gov,City,Non-Federal Agency,City of Arcadia,Arcadia,FL,service@vc3.com,http://arcadia-fl.gov,True,[]
archbaldboroughpa.gov,City,Non-Federal Agency,Archbald Borough,Archbald,PA,(blank),http://archbaldboroughpa.gov,True,[]
archdale-nc.gov,City,Non-Federal Agency,City of Archdale,Archdale,NC,_it@archdale-nc.gov,http://archdale-nc.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
archerlodgenc.gov,City,Non-Federal Agency,Town of Archer Lodge,Archer Lodge,NC,(blank),http://archerlodgenc.gov,True,[]
arcoidaho.gov,City,Non-Federal Agency,City of Arco,Arco,ID,help@totalcareit.info,http://arcoidaho.gov,False,[]
arcolapdtx.gov,City,Non-Federal Agency,Arcola Police Department,Rosharon,TX,acarr@arcolatexas.org,http://arcolapdtx.gov,False,[]
arcolatexas.gov,City,Non-Federal Agency,City of Arcola,Arcola,TX,contractor1@arcolatexas.org,http://arcolatexas.gov,False,[]
ardmoreok.gov,City,Non-Federal Agency,City of Ardmore,Ardmore,OK,abuse@ardmorecity.org,http://ardmoreok.gov,False,[]
ardsleyvillage.gov,City,Non-Federal Agency,Village of Ardsley,ARDSLEY,NY,(blank),http://ardsleyvillage.gov,False,[]
argentinetownship.gov,City,Non-Federal Agency,Argentine Township,Linden,MI,tech@tdaniels.com,http://argentinetownship.gov,False,[]
argonnewi.gov,City,Non-Federal Agency,Town Of Argonne,argonne,WI,info@naunkca.com,http://argonnewi.gov,True,[]
arkadelphia.gov,City,Non-Federal Agency,City of Arkadelphia,Arkadelphia,AR,(blank),http://arkadelphia.gov,True,[]
arkansascityks.gov,City,Non-Federal Agency,City of Arkansas City,Arkansas City,KS,security@arkansascityks.gov,http://arkansascityks.gov,False,[]
arkomaok.gov,City,Non-Federal Agency,Town of Arkoma,Arkoma,OK,abuse@omag.org,http://arkomaok.gov,False,[]
arlingtonma.gov,City,Non-Federal Agency,Town of Arlington,Arlington,MA,security@town.arlington.ma.us,http://arlingtonma.gov,False,[]
arlingtonmn.gov,City,Non-Federal Agency,City of Arlington,Arlington,MN,police@arlingtonmn.gov,http://arlingtonmn.gov,False,[]
arlingtonne.gov,City,Non-Federal Agency,Village of Arlington,Arlington,NE,clerk@arlingtonne.gov,http://arlingtonne.gov,False,[]
arlington-tx.gov,City,Non-Federal Agency,"City of Arlington, Texas",Arlington,TX,itregistrar@arlingtontx.gov,http://arlington-tx.gov,False,[]
arlingtontx.gov,City,Non-Federal Agency,"City of Arlington, Texas",Arlington,TX,itregistrar@arlingtontx.gov,http://arlingtontx.gov,False,[]
arlingtonwa.gov,City,Non-Federal Agency,City of Arlington Washington,Arlington,WA,bterry@arlingtonwa.gov,http://arlingtonwa.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
armadatwp.gov,City,Non-Federal Agency,Armada Township,Armada,MI,(blank),http://armadatwp.gov,False,[]
arrowsmithil.gov,City,Non-Federal Agency,Village of Arrowsmith,Arrowsmith,IL,arrowsmith.village@gmail.com,http://arrowsmithil.gov,True,[]
arroyopr.gov,City,Non-Federal Agency,Municipal Government of Arroyo,Arroyo,PR,(blank),http://arroyopr.gov,True,"['AhrefsBot', 'PetalBot', 'dotbot', 'AdsBot-Google-Mobile', 'AdsBot-Google', 'Googlebot']"
artesianm.gov,City,Non-Federal Agency,City of Artesia,Artesia,NM,jiiams@artesianm.gov,http://artesianm.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
arthur-il.gov,City,Non-Federal Agency,"Village of Arthur, IL",Arthur,IL,(blank),http://arthur-il.gov,False,[]
arvadaco.gov,City,Non-Federal Agency,City of Arvada,Arvada,CO,it_security_events@arvada.org,http://arvadaco.gov,False,[]
ashburnham-ma.gov,City,Non-Federal Agency,Town of Ashburnham,Ashburnham,MA,(blank),http://ashburnham-ma.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
ashbyma.gov,City,Non-Federal Agency,Town of Ashby,Ashby,MA,tabos@ashbyma.gov,http://ashbyma.gov,True,[]
asheboronc.gov,City,Non-Federal Agency,City of Asheboro,Asheboro,NC,(blank),http://asheboronc.gov,True,"['LinkedInBot/1.0', 'Bingbot', 'Twitterbot', 'Googlebot', 'FacebookBot']"
ashevillenc.gov,City,Non-Federal Agency,City of Asheville,Asheville,NC,pscruggs@ashevillenc.gov,http://ashevillenc.gov,True,[]
ashgrovemo.gov,City,Non-Federal Agency,City of Ash Grove,Ash Grove,MO,support@strongholddata.com,http://ashgrovemo.gov,True,"['MJ12bot', 'findfiles.org', 'Charlotte', 'Yandex']"
ashlandcitytn.gov,City,Non-Federal Agency,Town of Ashland City,Ashland City,TN,jwheeler@ashlandcitytn.gov,http://ashlandcitytn.gov,False,[]
ashlandky.gov,City,Non-Federal Agency,"The City of Ashland, KY",Ashland,KY,support@ashlandky.gov,http://ashlandky.gov,False,[]
ashlandoregon.gov,City,Non-Federal Agency,"City of Ashland, Oregon",Ashland,OR,(blank),http://ashlandoregon.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
ashlandva.gov,City,Non-Federal Agency,"Town of Ashland, VA",Ashland,VA,dougg@ashlandva.gov,http://ashlandva.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
ashmore.gov,City,Non-Federal Agency,Village of Ashmore,Ashmore,IL,jfreezeland@co.coles.il.us,http://ashmore.gov,False,[]
ashtoncityid.gov,City,Non-Federal Agency,City of Ashton Idaho,Ashton,ID,david@funwinkstudios.com,http://ashtoncityid.gov,False,[]
ashtonid.gov,City,Non-Federal Agency,City of Ashton ID,Ashton,ID,david@funwinkstudios.com,http://ashtonid.gov,False,[]
ashvilleohio.gov,City,Non-Federal Agency,Village of Ashville,Ashville,OH,agrube@ashvilleohio.gov,http://ashvilleohio.gov,True,[]
ashwaubenon.gov,City,Non-Federal Agency,Village of Ashwaubenon,Ashwaubenon,WI,security@ashwaubenon.com,http://ashwaubenon.gov,True,['Googlebot']
aspen.gov,City,Non-Federal Agency,City of Aspen,Aspen,CO,dnsadmins@aspen.gov,http://aspen.gov,True,"['Baiduspider', 'Siteimprovebot', 'Siteimprovebot-crawler', 'Siteimprove', 'Yandex']"
aspinwallpa.gov,City,Non-Federal Agency,Borough of Aspinwall,Aspinwall,PA,(blank),http://aspinwallpa.gov,False,[]
assyriatwpmi.gov,City,Non-Federal Agency,Assyria Township,Bellevue,MI,InfoAssyriaTwp@gmail.com,http://assyriatwpmi.gov,True,[]
astoria.gov,City,Non-Federal Agency,CITY OF ASTORIA,Astorai,OR,(blank),http://astoria.gov,False,[]
atchisonkspolice.gov,City,Non-Federal Agency,Atchison Police Department,Atchison,KS,mike.wilson@atchisonkspolice.gov,http://atchisonkspolice.gov,False,[]
athelstanewiclerk.gov,City,Non-Federal Agency,Town of Athelstane,Athelstane,WI,(blank),http://athelstanewiclerk.gov,False,[]
athensil.gov,City,Non-Federal Agency,City of Athens,Athens,IL,security@athensil.com,http://athensil.gov,False,[]
athenstn.gov,City,Non-Federal Agency,City of Athens,Athens,TN,technologymanager@cityofathenstn.com,http://athenstn.gov,False,[]
